id,word,stress,num_syllables,lemma
75,сложней,2,2,сложно
76,мордочку,1,3,мордочка
77,врожденное,2,4,врожденный
78,внесло,2,2,вносить
79,конвертация,3,5,конвертация
80,выждал,1,2,выжидать
81,комнатных,1,3,комнатный
82,поисковиков,5,5,поисковик
83,родословной,3,4,родословная
84,испачкать,2,3,испачкать
85,гамлет,1,2,гамлет
86,фей,1,1,фея
87,смешал,2,2,смешать
88,расстрела,2,3,расстрел
89,магазинчике,3,5,магазинчик
90,персональному,3,5,персональный
91,пищевым,3,3,пищевой
92,партнерской,2,3,партнерский
93,завалить,3,3,заваливать
94,венок,2,2,венок
95,кровавом,2,3,кровавый
96,пальма,1,2,пальма
97,полотну,3,3,полотно
98,античный,2,3,античный
99,помощником,2,4,помощник
100,спорят,1,2,спорить
101,пописать,2,3,пописать
102,хабаровска,2,4,хабаровск
103,стремно,1,2,стремный
104,подруг,2,2,подруга
105,поставлена,2,4,поставлять
106,цветник,2,2,цветник
107,новенькую,1,4,новенький
108,пришёлся,2,3,приходиться
109,предупредительный,4,6,предупредительный
110,божия,1,3,божий
111,гонщики,1,3,гонщик
112,внезапного,2,4,внезапный
113,сварили,2,3,сваривать
114,карпинск,2,2,карпинск
115,оградой,2,3,ограда
116,удовлетворит,5,5,удовлетворять
117,контактного,2,4,контактный
118,психической,2,4,психический
119,растяжек,2,3,растяжка
120,середа,3,3,середа
121,обрабатывались,3,6,обрабатываться
122,находившуюся,3,6,находиться
123,якорная,1,4,якорный
124,страстную,1,3,страстный
125,графической,2,4,графический
126,специфическим,3,5,специфический
127,вдребезги,1,3,вдребезги
128,счетам,2,2,счет
129,заботясь,2,3,заботиться
130,управляй,3,3,управлять
131,неуверенности,3,6,неуверенность
132,расходовать,2,4,расходовать
133,взрослом,1,2,взрослый
134,отличающихся,3,6,отличаться
135,совершилось,3,4,совершаться
136,шпильки,1,2,шпилька
137,автосалона,4,5,автосалон
138,отношусь,3,3,относиться
139,обручальным,3,4,обручальный
140,заботились,2,4,заботиться
141,жасмин,2,2,жасмин
142,мастика,2,3,мастика
143,невысоким,3,4,невысокий
144,палубы,1,3,палуба
145,смотровая,3,4,смотровой
146,блудного,1,3,блудный
147,дагестане,3,4,дагестан
148,поменьше,2,3,мало
149,достоверную,3,5,достоверный
150,заряжает,3,4,заряжать
151,тиражи,3,3,тираж
152,чела,2,2,чело
153,халаты,2,3,халат
154,тромбоцитов,3,4,тромбоцит
155,медленная,1,4,медленный
156,крону,1,2,крона
157,прообразом,2,4,прообраз
158,выезду,1,3,выезд
159,призадуматься,3,5,призадумываться
160,захарова,2,4,захаров
161,наволочки,1,4,наволочка
162,недаром,2,3,недаром
163,мастики,2,3,мастика
164,кайла,1,2,кайло
165,оскорбительное,3,6,оскорбительный
166,преимуществах,3,5,преимущество
167,безликий,2,3,безликий
168,сатана,3,3,сатана
169,гувернантки,3,4,гувернантка
170,выполнено,1,4,выполнять
171,крема,1,2,крем
172,канун,2,2,канун
173,неизвестным,3,4,неизвестный
174,надёжного,2,4,надежный
175,дураку,3,3,дурак
176,пяльцы,1,2,пяльцы
177,тонкино,1,3,тонкино
178,складываются,1,5,складываться
179,бушевала,3,4,бушевать
180,придает,3,3,придавать
181,финальный,2,3,финальный
182,бархатные,1,4,бархатный
183,обаятельной,3,5,обаятельный
184,восстанавливать,3,5,восстанавливать
185,скитаний,2,3,скитание
186,репетиторы,3,5,репетитор
187,четверка,2,3,четверка
188,задремал,3,3,задремать
189,погибшем,2,3,погибать
190,присутствующий,2,5,присутствующий
191,пассажирским,3,4,пассажирский
192,резкой,1,2,резкий
193,человечестве,3,5,человечество
194,постриг,1,2,постриг
195,корпоративного,4,6,корпоративный
196,выручать,3,3,выручать
197,экипировке,4,5,экипировка
198,естества,3,3,естество
199,огурца,3,3,огурец
200,тихона,1,3,тихон
201,продолжаю,3,4,продолжать
202,шейки,1,2,шейка
203,вятские,1,3,вятский
204,пожирал,3,3,пожирать
205,древнерусского,3,5,древнерусский
206,нежилого,3,4,нежилой
207,пуговицах,1,4,пуговица
208,каллиграфия,3,5,каллиграфия
209,созданные,1,4,создавать
210,затих,2,2,затихать
211,подмигнула,3,4,подмигивать
212,песчаная,2,4,песчаный
213,приволжский,2,3,приволжский
214,выражаются,3,5,выражаться
215,банды,1,2,банда
216,деловым,3,3,деловой
217,разделов,2,3,раздел
218,волосатой,3,4,волосатый
219,поисками,1,4,поиск
220,нежном,1,2,нежный
221,интегральные,3,5,интегральный
222,заставы,2,3,застава
223,прольется,2,3,проливаться
224,подзащитного,3,5,подзащитный
225,страстям,2,2,страсть
226,ступню,2,2,ступня
227,прибавляют,3,4,прибавлять
228,пожарить,2,3,пожарить
229,участковых,3,4,участковый
230,почесал,3,3,почесать
231,железно,2,3,железно
232,инициировал,4,6,инициировать
233,акриловая,2,5,акриловый
234,неоспоримый,4,5,неоспоримый
235,колонке,3,3,колонка
236,будапешта,3,4,будапешт
237,визажисты,3,4,визажист
238,пациентам,3,4,пациент
239,настороженный,3,5,настороженный
240,пайщиков,1,3,пайщик
241,прослушав,2,3,прослушивать
242,восхищаются,3,5,восхищаться
243,аудиенцию,4,6,аудиенция
244,отвергают,3,4,отвергать
245,полянка,2,3,полянка
246,сладкие,1,3,сладкий
247,нефтегазовых,3,5,нефтегазовый
248,лодочки,1,3,лодочка
249,крапивой,2,3,крапива
250,исполняется,3,5,исполняться
251,полминуты,3,4,полминуты
252,досками,1,3,доска
253,неопытный,2,4,неопытный
254,ордынское,2,4,ордынский
255,близком,1,2,близкий
256,брендовые,1,4,брендовый
257,чаши,1,2,чаша
258,раскладывать,2,4,раскладывать
259,куличи,3,3,кулич
260,подытожила,3,5,подытоживать
261,ньюсмейкеры,2,4,ньюсмейкер
262,прежнего,1,3,прежний
263,маршрутизаторы,4,6,маршрутизатор
264,прибавка,2,3,прибавка
265,африканский,3,4,африканский
266,возвышенной,2,4,возвышенный
267,хамство,1,2,хамство
268,оплачен,2,3,оплачивать
269,пациентку,3,4,пациентка
270,какао,2,3,какао
271,гордое,1,3,гордый
272,зубам,2,2,зуб
273,строящемся,1,4,строиться
274,заслуженная,2,5,заслуживать
275,ходорковского,3,5,ходорковский
276,гигант,2,2,гигант
277,разбившегося,2,5,разбиваться
278,направленная,2,5,направлять
279,неприемлемо,3,5,неприемлемо
280,мужественным,1,4,мужественный
281,предательски,2,4,предательски
282,необъятной,3,4,необъятный
283,сириуса,1,4,сириус
284,воровать,3,3,воровать
285,поползла,3,3,поползти
286,стрептокарпусов,3,5,стрептокарпус
287,облучения,3,5,облучение
288,переизбыток,4,5,переизбыток
289,персидских,2,3,персидский
290,бусинами,1,4,бусина
291,вольтметр,2,2,вольтметр
292,сенсорных,2,3,сенсорный
293,бессмысленность,2,4,бессмысленность
294,нуждающихся,2,5,нуждающийся
295,испортила,2,4,испортить
296,записывать,2,4,записывать
297,мотнул,2,2,мотнуть
298,признанию,2,4,признание
299,местоимение,4,6,местоимение
300,деревнях,3,3,деревня
301,культурная,2,4,культурный
302,сдержала,2,3,сдерживать
303,снегопад,3,3,снегопад
304,продержалась,3,4,продержаться
305,показывало,2,5,показывать
306,разносить,3,3,разнашивать
307,нацистами,2,4,нацист
308,тоненьким,1,3,тоненький
309,малости,1,3,малость
310,вариатора,3,5,вариатор
311,бурцев,1,2,бурцев
312,соломка,2,3,соломка
313,новобранец,3,4,новобранец
314,ножничные,1,4,ножничный
315,определённого,4,6,определенный
316,перешедший,3,4,переходить
317,щедро,1,2,щедро
318,выполняющие,3,6,выполнять
319,шанса,1,2,шанс
320,двигательная,1,5,двигательный
321,кушали,1,3,кушать
322,бросили,1,3,бросать
323,тиражами,3,4,тираж
324,удобней,2,3,удобно
325,нащупала,2,4,нащупывать
326,сталкиваюсь,1,4,сталкиваться
327,береговая,4,5,береговой
328,мультимедийная,4,6,мультимедийный
329,имеющемся,2,5,иметься
330,видимое,1,4,видеть
331,управе,2,3,управа
332,подевался,3,4,подеваться
333,полуфабрикаты,5,6,полуфабрикат
334,развлечь,2,2,развлекать
335,сдерживал,1,3,сдерживать
336,сотовый,2,3,сотовый
337,брокеру,1,3,брокер
338,луче,2,2,луч
339,нашивки,2,3,нашивка
340,капал,1,2,капать
341,мана,1,2,ман
342,полмесяца,2,4,полмесяца
343,закажите,3,4,заказывать
344,правилах,1,3,правило
345,вредное,1,3,вредный
346,путешествию,3,5,путешествие
347,нах,1,1,нах
348,высунуть,1,3,высовывать
349,свидетельствуют,2,5,свидетельствовать
350,сорочке,2,3,сорочка
351,очарованием,4,6,очарование
352,клонит,1,2,клонить
353,признаны,1,3,признавать
354,пены,1,2,пена
355,блоке,1,2,блок
356,восстановительной,4,6,восстановительный
357,беседовать,2,4,беседовать
358,приготовлено,3,5,приготавливать
359,самолётов,3,4,самолет
360,яшка,2,2,яшка
361,переломы,3,4,перелом
362,черновая,3,4,черновой
363,горными,1,3,горный
364,особняку,4,4,особняк
365,выбило,1,3,выбивать
366,селедка,2,3,селедка
367,займется,2,3,заниматься
368,средиземного,3,5,средиземное
369,происходил,4,4,происходить
370,товарищами,2,5,товарищ
371,основанный,2,4,основывать
372,постройками,2,4,постройка
373,рядовым,3,3,рядовой
374,поглядывает,2,5,поглядывать
375,разделим,2,3,разделять
376,завершенные,3,5,завершать
377,овощечистки,4,5,овощечистка
378,рисунку,2,3,рисунок
379,добавка,2,3,добавка
380,забытье,3,3,забытье
381,пятым,1,2,пятый
382,умению,2,4,умение
383,даши,1,2,даша
384,проезжую,2,4,проезжий
385,цепляются,2,4,цепляться
386,трусами,1,3,трусы
387,печатный,2,3,печатный
388,исполнителями,3,6,исполнитель
389,загреб,1,2,загребать
390,немыслимой,2,4,немыслимый
391,введя,2,2,вводить
392,земского,1,3,земский
393,лирические,2,5,лирический
394,катаклизмов,3,4,катаклизм
395,кумиром,2,3,кумир
396,сигналом,2,3,сигнал
397,графов,1,2,граф
398,лицензионный,4,5,лицензионный
399,актерами,2,4,актер
400,устрою,2,3,устраивать
401,тройкой,1,2,тройка
402,окрашена,2,4,окрашивать
403,переворот,4,4,переворот
404,непослушными,3,5,непослушный
405,нужда,2,2,нужда
406,росли,2,2,расти
407,конструктивного,3,5,конструктивный
408,завершили,3,4,завершать
409,повторяются,3,5,повторяться
410,учебников,2,4,учебник
411,нотой,1,2,нота
412,факторам,1,3,фактор
413,свидетельстве,2,4,свидетельство
414,багет,2,2,багет
415,модницы,1,3,модница
416,включила,2,3,включать
417,пакетах,2,3,пакет
418,ворс,1,1,ворс
419,деревенской,3,4,деревенский
420,утренних,1,3,утренний
421,отстранили,3,4,отстранять
422,археологии,4,6,археология
423,безрукавки,3,4,безрукавка
424,огневые,3,4,огневой
425,лишенное,2,4,лишать
426,арочным,1,3,арочный
427,удосужились,3,5,удосуживаться
428,съёмок,1,2,съемка
429,аргументация,4,6,аргументация
430,привязываться,2,5,привязываться
431,презерватива,4,5,презерватив
432,волнение,2,4,волнение
433,младшую,1,3,младший
434,электроды,3,4,электрод
435,модерации,3,5,модерация
436,уважительной,3,5,уважительный
437,сирийская,2,4,сирийский
438,пролетают,3,4,пролетать
439,утечек,2,3,утечка
440,помилование,2,6,помилование
441,автомобилями,4,6,автомобиль
442,маловато,3,4,маловато
443,запечь,2,2,запекать
444,выбранных,1,3,выбирать
445,блеснул,2,2,блеснуть
446,одеяния,3,5,одеяние
447,обеспечивал,3,5,обеспечивать
448,песням,1,2,песня
449,поворотами,3,5,поворот
450,газетой,2,3,газета
451,изложено,2,4,излагать
452,одновременной,4,5,одновременный
453,подкормка,2,3,подкормка
454,мата,1,2,мат
455,поронайск,3,3,поронайск
456,выражена,1,4,выражать
457,унитаза,3,4,унитаз
458,раскинула,2,4,раскидывать
459,расходе,2,3,расход
460,дорогому,3,4,дорогой
461,просматривали,2,5,просматривать
462,обелиск,3,3,обелиск
463,оперных,1,3,оперный
464,бессилие,2,4,бессилие
465,задумалась,2,4,задумываться
466,танцевальные,3,5,танцевальный
467,лорды,1,2,лорд
468,спецоперации,4,6,спецоперация
469,передвижная,4,5,передвижной
470,разбежался,3,4,разбегаться
471,регулировку,4,5,регулировка
472,хлора,1,2,хлор
473,этакая,1,4,этакий
474,пеларгоний,3,4,пеларгония
475,посвящено,4,4,посвящать
476,жевал,2,2,жевать
477,оккупированных,3,6,оккупировать
478,конвейера,2,4,конвейер
479,плугом,1,2,плуг
480,обществом,1,3,общество
481,стеклопакеты,4,5,стеклопакет
482,откровенность,3,4,откровенность
483,экологических,4,6,экологический
484,грамотную,1,4,грамотный
485,дилеру,1,3,дилер
486,ускорила,2,4,ускорять
487,кард,1,1,карда
488,кыргызстане,3,4,кыргызстан
489,сирень,2,2,сирень
490,злюсь,1,1,злиться
491,шпилит,1,2,шпиливать
492,распался,2,3,распадаться
493,свиные,2,3,свиной
494,народам,2,3,народ
495,архитектуре,4,5,архитектура
496,птах,1,1,птаха
497,крису,1,2,крис
498,строению,2,4,строение
499,всеобщем,2,3,всеобщий
500,никитина,2,4,никитин
501,буксир,2,2,буксир
502,бреши,1,2,брешь
503,бородино,4,4,бородино
504,нажитое,2,4,нажитое
505,плите,2,2,плита
506,очередях,4,4,очередь
507,шредер,1,2,шредер
508,ударяет,3,4,ударять
509,грозном,1,2,грозный
510,полнота,3,3,полнота
511,припоминая,4,5,припоминать
512,забавным,2,3,забавный
513,различия,2,4,различие
514,штендеры,1,3,штендер
515,семейными,2,4,семейный
516,краткость,1,2,краткость
517,озорные,3,4,озорной
518,коммунарка,3,4,коммунарка
519,порогу,2,3,порог
520,размышляю,3,4,размышлять
521,компетенций,3,4,компетенция
522,попов,2,2,попов
523,яранск,2,2,яранск
524,всходов,1,2,всходы
525,подчинения,3,5,подчинение
526,таковыми,2,4,таковой
527,грибов,2,2,гриб
528,отвез,2,2,отвозить
529,заказываю,2,5,заказывать
530,клининг,1,2,клининг
531,гангрена,2,3,гангрена
532,резервного,2,4,резервный
533,рентгенография,4,6,рентгенография
534,половая,3,4,половый
535,продлила,2,3,продлять
536,дурацкие,2,4,дурацкий
537,клану,1,2,клан
538,целебными,2,4,целебный
539,остатками,2,4,остаток
540,надбавки,2,3,надбавка
541,уплаченных,2,4,уплачивать
542,извещения,3,5,извещение
543,множественными,1,5,множественный
544,мамки,1,2,мамка
545,откачка,2,3,откачка
546,слуховых,3,3,слуховой
547,гидранты,2,3,гидрант
548,маршей,1,2,марш
549,колоссальную,3,5,колоссальный
550,балтии,1,3,балтия
551,офисной,1,3,офисный
552,дервиш,2,2,дервиш
553,шикарно,2,3,шикарно
554,точечная,1,4,точечный
555,выхватила,1,4,выхватывать
556,попадая,2,4,попадать
557,благосклонно,3,4,благосклонно
558,приняты,1,3,принимать
559,слезинка,2,3,слезинка
560,этюд,2,2,этюд
561,сопряжена,4,4,сопрягать
562,пылающего,2,5,пылать
563,непосредственностью,3,6,непосредственность
564,вселенское,2,4,вселенский
565,подданных,1,3,подданный
566,подкачки,2,3,подкачка
567,тоской,2,2,тоска
568,автоматической,4,6,автоматический
569,чувственной,1,3,чувственный
570,удалим,3,3,удалять
571,подводными,2,4,подводный
572,потолочных,3,4,потолочный
573,кайфа,1,2,кайф
574,юрко,1,2,юрко
575,тамбовском,2,3,тамбовский
576,стыду,2,2,стыд
577,жалобе,1,3,жалоба
578,накрылась,2,3,накрываться
579,удмуртия,1,4,удмуртия
580,альберта,2,3,альберта
581,винные,1,3,винный
582,образующихся,3,6,образовываться
583,верификации,4,6,верификация
584,аудиокниги,5,6,аудиокнига
585,подписывают,2,5,подписывать
586,шведском,1,2,шведский
587,будды,1,2,будда
588,крепежная,2,4,крепежный
589,месяцем,1,3,месяц
590,запретную,2,4,запретный
591,тыя,1,2,тыя
592,гигантским,2,3,гигантский
593,вольность,1,2,вольность
594,поужинав,2,4,поужинать
595,уповая,3,4,уповать
596,либеральные,3,5,либеральный
597,педагогами,3,5,педагог
598,учёбу,2,3,учеба
599,превращусь,3,3,превращаться
600,алика,1,3,алик
601,возьмёте,2,3,взять
602,наследственная,2,5,наследственный
603,вспомогательный,3,5,вспомогательный
604,растили,2,3,растить
605,пересчитывать,3,5,пересчитывать
606,шиншилл,2,2,шиншилла
607,умоляя,3,4,умолять
608,пройдете,2,3,проходить
609,велось,2,2,вестись
610,гарема,2,3,гарем
611,ошмяны,2,3,ошмяны
612,лег,1,1,ложиться
613,мальчиком,1,3,мальчик
614,девицу,2,3,девица
615,болтовней,3,3,болтовня
616,рычага,3,3,рычаг
617,эмиратах,3,4,эмират
618,кофи,1,2,кофи
619,выплачен,1,3,выплачивать
620,плодотворной,3,4,плодотворный
621,крошечную,1,4,крошечный
622,древность,1,2,древность
623,считай,2,2,считать
624,юриспруденции,4,6,юриспруденция
625,смущает,2,3,смущать
626,разбудила,3,4,разбудить
627,выдана,1,3,выдавать
628,монстров,1,2,монстр
629,временных,3,3,временный
630,ворса,1,2,ворс
631,истинности,1,4,истинность
632,задаёт,3,3,задавать
633,повязали,3,4,повязывать
634,подручными,2,4,подручный
635,поглотить,3,3,поглощать
636,дающих,2,3,давать
637,преспокойно,3,4,преспокойно
638,меченый,1,3,меченый
639,крестовый,2,3,крестовый
640,согревающие,3,6,согревать
641,постоянством,3,4,постоянство
642,недовольство,3,4,недовольство
643,доставляя,3,4,доставлять
644,плохими,2,3,плохой
645,пандус,1,2,пандус
646,проливной,3,3,проливной
647,подвесок,2,3,подвесок
648,метан,1,2,метан
649,люльки,1,2,люлька
650,новенькое,1,4,новенький
651,подпишу,3,3,подписывать
652,доказывали,2,5,доказывать
653,зарплатой,2,3,зарплата
654,пинка,1,2,пинок
655,водолей,3,3,водолей
656,метрополитена,5,6,метрополитен
657,оттолкнула,3,4,отталкивать
658,уедет,2,3,уезжать
659,опровергают,4,5,опровергать
660,идиотка,3,4,идиотка
661,психоанализа,4,6,психоанализ
662,дикому,1,3,дикий
663,владыку,2,3,владыка
664,бетоном,2,3,бетон
665,графе,1,2,графа
666,коллекционеров,5,6,коллекционер
667,бешено,1,3,бешено
668,пушка,1,2,пушка
669,комплексом,2,3,комплекс
670,занимательные,3,6,занимательный
671,выпечки,1,3,выпечка
672,хранились,2,3,храниться
673,могиле,2,3,могила
674,метеорологи,4,6,метеоролог
675,доверенных,2,4,доверенный
676,кристалла,2,3,кристалл
677,апатию,2,4,апатия
678,заразился,3,4,заражаться
679,лихорадочно,3,5,лихорадочно
680,посланец,2,3,посланец
681,фреска,1,2,фреска
682,качаются,2,4,качаться
683,киноафиша,4,5,киноафиша
684,эротическое,3,6,эротический
685,предлагаемой,3,5,предлагать
686,применяйте,3,4,применять
687,отраслевых,4,4,отраслевой
688,шоппинг,1,2,шоппинг
689,спекулянтов,3,4,спекулянт
690,оцепенел,4,4,оцепенеть
691,населении,3,5,население
692,богатствами,2,4,богатство
693,поэтики,2,4,поэтика
694,деревушку,3,4,деревушка
695,вермишель,3,3,вермишель
696,эйс,1,1,эйс
697,сталиным,1,3,сталин
698,пахнущей,1,3,пахнуть
699,задаем,3,3,задавать
700,заварила,3,4,заваривать
701,представителям,3,5,представитель
702,присутствующих,2,5,присутствовать
703,одобрен,2,3,одобрять
704,манхэттене,2,4,манхеттен
705,каспия,1,3,каспий
706,гвардейск,2,2,гвардейск
707,митрополит,4,4,митрополит
708,влетела,2,3,влетать
709,мусульманская,3,5,мусульманский
710,войнах,1,2,война
711,избегали,3,4,избегать
712,туристическое,3,6,туристический
713,живописными,3,5,живописный
714,развёл,2,2,разводить
715,новгородских,3,4,новгородский
716,пан,1,1,пан
717,японскими,2,4,японский
718,коллективы,3,4,коллектив
719,армавире,3,4,армавир
720,овсянка,2,3,овсянка
721,сожгу,2,2,сжигать
722,соблюдению,3,5,соблюдение
723,чтец,1,1,чтец
724,расчете,2,3,расчет
725,добавлял,3,3,добавлять
726,доставленных,2,4,доставлять
727,луками,1,3,лук
728,содрал,2,2,сдирать
729,внеочередного,5,6,внеочередной
730,фантазий,2,3,фантазия
731,уменьшении,3,5,уменьшение
732,очутился,3,4,очутиться
733,ровесница,2,4,ровесница
734,амазонок,3,4,амазонка
735,профессиональном,5,6,профессиональный
736,временами,3,4,время
737,ограничивать,3,5,ограничивать
738,тёмному,1,3,темный
739,разработчиков,3,5,разработчик
740,величайшую,3,5,великий
741,визуальных,3,4,визуальный
742,одиноких,3,4,одинокий
743,указанными,2,5,указанный
744,потрепанный,2,4,потрепать
745,воспользовавшись,2,5,воспользоваться
746,планировался,2,5,планироваться
747,продана,1,3,продавать
748,почтовые,2,4,почтовый
749,женитьбы,2,3,женитьба
750,демонстрантов,3,4,демонстрант
751,стрелу,2,2,стрела
752,девственниц,1,3,девственница
753,интерактивных,4,5,интерактивный
754,мешая,2,3,мешать
755,балтийская,2,4,балтийский
756,референдума,3,5,референдум
757,баюн,2,2,баюн
758,дескать,1,2,дескать
759,виагры,2,3,виагра
760,прибытии,2,4,прибытие
761,святое,2,3,святой
762,бюрганы,2,3,бюрган
763,липкие,1,3,липкий
764,выберусь,1,3,выбираться
765,блокировок,3,4,блокировка
766,упором,2,3,упор
767,войсковые,3,4,войсковой
768,атакующих,3,5,атаковать
769,нирване,2,3,нирвана
770,придавило,3,4,придавливать
771,сунулся,1,3,сунуться
772,прыжков,2,2,прыжок
773,умирающей,3,5,умирающий
774,заканчивал,2,4,заканчивать
775,векторе,1,3,вектор
776,отобразить,4,4,отображать
777,проявлений,3,4,проявление
778,заявленного,2,5,заявлять
779,португальский,3,4,португальский
780,железногорск,4,4,железногорск
781,нахально,2,3,нахально
782,проданные,1,4,продавать
783,губерния,2,4,губерния
784,скоротать,3,3,скоротать
785,позирует,2,4,позировать
786,денежный,1,3,денежный
787,стонала,2,3,стонать
788,возмущенный,3,4,возмущать
789,друзьях,2,2,друг
790,искитим,3,3,искитим
791,мертвыми,1,3,мертвый
792,пересеклись,4,4,пересекаться
793,солист,2,2,солист
794,витраж,2,2,витраж
795,кислоту,3,3,кислота
796,москитные,2,4,москитный
797,любитель,2,3,любитель
798,капали,1,3,капать
799,шабаш,2,2,шабаш
800,гражданскую,2,4,гражданский
801,укомплектована,4,6,укомплектовывать
802,баб,1,1,баба
803,придите,2,3,прийти
804,сера,2,2,сера
805,концертный,2,3,концертный
806,дрянью,1,2,дрянь
807,рождественское,2,5,рождественский
808,притянула,3,4,притягивать
809,полицейскую,3,5,полицейский
810,овечкин,2,3,овечкин
811,непрямого,3,4,непрямой
812,запретить,3,3,запрещать
813,выполнишь,1,3,выполнять
814,толкнуть,2,2,толкнуть
815,заразных,2,3,заразный
816,георгиевна,2,5,георгиевна
817,покрытым,2,3,покрывать
818,помпеи,2,3,помпеи
819,утверждаются,3,5,утверждаться
820,санитар,3,3,санитар
821,коню,2,2,конь
822,подтянула,3,4,подтягивать
823,гидроцилиндр,4,4,гидроцилиндр
824,раскладку,2,3,раскладка
825,понесенных,3,4,понести
826,пунктуальность,3,4,пунктуальность
827,переложить,4,4,перелагать
828,остановимся,3,5,останавливаться
829,третьякова,3,4,третьяков
830,бинтов,2,2,бинт
831,принесите,3,4,приносить
832,светским,1,2,светский
833,районом,2,3,район
834,паула,2,3,паула
835,беспощадно,3,4,беспощадно
836,преимуществом,3,5,преимущество
837,ванная,1,3,ванная
838,пожить,2,2,пожить
839,тоннелю,2,3,тоннель
840,плазменные,1,4,плазменный
841,лавочку,1,3,лавочка
842,трубочки,1,3,трубочка
843,рациональным,4,5,рациональный
844,работяг,3,3,работяга
845,поддержала,3,4,поддерживать
846,медленного,1,4,медленный
847,излагал,3,3,излагать
848,издавала,3,4,издавать
849,михайловичу,2,5,михайлович
850,бездне,1,2,бездна
851,мышки,1,2,мышка
852,кишечных,2,3,кишечный
853,ссорятся,1,3,ссориться
854,борода,3,3,борода
855,океане,3,4,океан
856,вышедший,1,3,выходить
857,зажигательные,3,6,зажигательный
858,стечении,2,4,стечение
859,отрешенно,3,4,отрешенно
860,сжаты,1,2,сжинать
861,предпочел,3,3,предпочитать
862,экспертизу,3,4,экспертиза
863,однородную,3,5,однородный
864,беспомощный,2,4,беспомощный
865,уважал,3,3,уважать
866,оступился,3,4,оступаться
867,эндокринолога,4,6,эндокринолог
868,обитателями,3,6,обитатель
869,трибуна,2,3,трибуна
870,правдивые,2,4,правдивый
871,распашонки,3,4,распашонка
872,замелькали,3,4,замелькать
873,мусорным,1,3,мусорный
874,пожизненному,2,5,пожизненный
875,планировали,2,5,планировать
876,подставляет,3,4,подставлять
877,таинств,1,2,таинство
878,недорогую,4,5,недорогой
879,уничтожим,3,4,уничтожать
880,ставишь,1,2,ставить
881,собирание,3,5,собирание
882,дурно,1,2,дурно
883,багажник,2,3,багажник
884,сыграл,2,2,сыграть
885,простейших,2,3,простой
886,разумному,2,4,разумный
887,надлежало,3,4,надлежать
888,общепринятых,3,5,общепринятый
889,величественной,2,5,величественный
890,слиться,1,2,сливаться
891,виновный,2,3,виновный
892,льготах,1,2,льгота
893,маки,1,2,мак
894,камерам,1,3,камера
895,склонялся,2,3,склоняться
896,предоставлению,4,6,предоставление
897,ревматизм,3,3,ревматизм
898,зубного,2,3,зубной
899,диваном,2,3,диван
900,сбившись,1,2,сбиваться
901,похвастаться,2,4,похвастаться
902,прокладку,2,3,прокладка
903,лики,1,2,лик
904,павловны,1,3,павловна
905,экологической,4,6,экологический
906,топь,1,1,топь
907,чувствуется,1,4,чувствоваться
908,ультразвука,3,4,ультразвук
909,будущая,1,4,будущий
910,выездные,3,4,выездной
